filename,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37
ABBA - Gimme! Gimme! Gimme! (A Man After Midnight).mp3,-107.43394470214844,75.52587127685547,-8.073015213012695,18.26551628112793,0.5724918246269226,5.641787528991699,4.2035627365112305,3.9545536041259766,-3.668231725692749,1.7090483903884888,-6.163015365600586,4.091659069061279,-4.333356857299805,0.3084171414375305,0.4016740024089813,0.6932379603385925,0.37594977021217346,0.34929361939430237,0.3783949911594391,0.34748324751853943,0.3163675367832184,0.2589823305606842,0.41164258122444153,0.22800683975219727,0.22519095242023468,20.470495003320682,15.749408518993553,18.779588524269656,19.373462448467983,18.989535616515536,19.139730484699726,48.76948333400189,0.1436697661692144,2758.8824819196075,2583.126105061085,5667.001149086022,0.12768347561359406
ACRAZE - Take Me Away.mp3,-9.359509468078613,57.97756576538086,14.117828369140625,17.6217041015625,2.841212511062622,13.73318099975586,0.26758748292922974,9.592161178588867,-3.3323450088500977,7.563193321228027,-3.7272562980651855,-2.6972901821136475,-8.034977912902832,0.47903355956077576,0.4248347878456116,0.40665361285209656,0.5107820630073547,0.4943893551826477,0.4685935974121094,0.5655661225318909,0.5684322118759155,0.7947388887405396,0.7147019505500793,0.5603770017623901,0.5148398280143738,22.096026265631714,12.803268532828879,14.395194602357954,15.268067455585678,15.843303188890031,15.513321380890153,48.69166105698026,0.14433368883634867,3156.00989603035,2906.6834659912233,6688.517888780718,0.31641334295272827
"ACRAZE, Cherish - Do It To It.mp3",-103.0191650390625,60.203269958496094,1.7954049110412598,16.019927978515625,2.065714120864868,1.719630241394043,-6.162893772125244,4.676212310791016,-5.693365097045898,4.921175003051758,-6.01137638092041,2.653111696243286,-5.998140335083008,0.5073741674423218,0.4716506898403168,0.6116910576820374,0.5619673728942871,0.4408462941646576,0.41968250274658203,0.41742563247680664,0.3980329632759094,0.40786856412887573,0.47694921493530273,0.4732948839664459,0.5242581367492676,17.9807843373305,15.477056078991666,17.936183005447152,16.51979950646848,16.012955495520778,16.70805640565579,50.460284837055745,0.12982376145873645,2933.2526345404913,2635.809144669454,5916.964220926858,0.2225448340177536
"AFROJACK, Martin Garrix - Turn Up The Speakers.mp3",-60.126976013183594,82.410888671875,-14.456579208374023,3.4477853775024414,-7.6672258377075195,6.305408000946045,-3.080848455429077,5.655273914337158,-4.290477275848389,2.4787650108337402,-1.3096556663513184,1.3228695392608643,-3.9591915607452393,0.4885263442993164,0.3552152216434479,0.31011807918548584,0.34808093309402466,0.4397388994693756,0.8005932569503784,0.43819424510002136,0.3265398442745209,0.30484718084335327,0.2979932129383087,0.30105462670326233,0.34105396270751953,19.603962607070013,15.081984543440399,18.045808937365685,16.672534864823724,16.854083622307666,16.371869542845804,48.749839091902835,0.12816485236672795,2622.220856371667,2442.60162071188,5358.953011810964,0.21234168112277985
Agents Of Time - Inception.mp3,-63.638938903808594,72.95157623291016,17.941408157348633,18.770551681518555,14.41033935546875,18.099096298217773,4.819992542266846,10.121142387390137,1.1163479089736938,6.840914249420166,4.128981113433838,7.597838401794434,2.6170668601989746,0.44156843423843384,0.4947023093700409,0.681447446346283,0.5192323327064514,0.5191327929496765,0.5019384622573853,0.4110426902770996,0.4392344057559967,0.44449183344841003,0.5623350739479065,0.44877368211746216,0.4259646534919739,20.317408352224298,13.851216517818132,16.749177244108523,16.77727432050297,17.023358482225298,16.376204576296487,47.788266796715156,0.11852394316587654,2829.775114577675,2769.25404996196,6065.682071650361,0.2755080759525299
"Ahadadream, Priya Ragu, Skrillex, contra - TAKA.mp3",-40.583919525146484,94.8751220703125,-11.324042320251465,13.203874588012695,1.0288684368133545,10.531434059143066,-2.3895535469055176,4.089329719543457,0.020403694361448288,7.684717655181885,-3.16298246383667,2.4854013919830322,-4.9438557624816895,0.43977704644203186,0.3886074125766754,0.4381718635559082,0.47477009892463684,0.5892851948738098,0.5212068557739258,0.5080947279930115,0.6557444334030151,0.5596740245819092,0.574256956577301,0.43485039472579956,0.44771862030029297,20.615891623643964,13.926222284300415,16.096255153026032,15.902289749965963,16.98855002932759,15.916732997346594,47.96073691663206,0.07909976734834559,2224.6657893189067,2366.284414470366,4683.388346858069,0.310271292924881
"Alex Gaudino, Crystal Waters - Destination Calabria - Radio Edit.mp3",-53.0820198059082,80.57382202148438,7.921466827392578,27.886621475219727,10.420788764953613,10.097128868103027,3.544997453689575,12.617613792419434,0.9343631267547607,9.288034439086914,1.5567576885223389,4.298173427581787,-1.1942812204360962,0.48278599977493286,0.45191681385040283,0.46270307898521423,0.44997820258140564,0.48925521969795227,0.46000373363494873,0.4741424322128296,0.5146366953849792,0.5272058248519897,0.7194476127624512,0.591737687587738,0.48406609892845154,17.752878453762253,14.630067133557915,16.914898914148264,16.77118939040234,16.712298939057433,16.52588347820215,48.171837372927754,0.10167984622919891,2544.6299424200693,2662.6942880267866,5557.53514434531,0.21992884576320648
Alexandra Stan - Mr. Saxobeat.mp3,-22.765819549560547,63.49816131591797,12.584017753601074,19.55826187133789,8.636330604553223,5.302937984466553,0.33869022130966187,6.989749908447266,-2.1684274673461914,4.601207733154297,-0.8436766862869263,4.516290187835693,-2.9755265712738037,0.4004423916339874,0.4508000314235687,0.47164684534072876,0.3495917320251465,0.3538666367530823,0.3549155294895172,0.5248019099235535,0.39676433801651,0.3334256410598755,0.388788640499115,0.40439099073410034,0.542921781539917,19.183002653798482,14.670748657065161,17.61951851639903,17.14795998156838,17.473841450258032,16.860465200451223,47.46578883023247,0.13211777630974264,3118.3211938557115,2986.8679352275335,6854.577301308836,0.2565198838710785
"Alok, Ella Eyre, Kenny Dope, Never Dull - Deep Down (feat. Never Dull).mp3",-18.051776885986328,63.54280471801758,10.690520286560059,10.418379783630371,-0.4092960059642792,6.755948543548584,-2.077306032180786,6.849660873413086,-4.25746488571167,4.843373775482178,-5.344842910766602,0.963279128074646,-4.5401763916015625,0.4577036201953888,0.36241230368614197,0.44625183939933777,0.358591228723526,0.4493311941623688,0.4215553104877472,0.3009437024593353,0.41221919655799866,0.39324232935905457,0.4949800372123718,0.3781367540359497,0.3918150067329407,22.8163632868241,14.869894577189973,18.96099653939021,18.642064815482932,18.047244976394214,16.604703802822545,48.78443347476605,0.11956239115712074,3008.723089996383,2937.3355022913006,6665.888858948699,0.31001678109169006
"Antoine Clamaran, Agua Sin Gas - Dancin' - Original mix.mp3",-12.657938957214355,37.15791320800781,3.611880302429199,9.731369018554688,-1.9907755851745605,11.052218437194824,2.787785768508911,7.980210304260254,-2.0630786418914795,3.9367849826812744,-3.3084754943847656,4.3406243324279785,0.19760438799858093,0.456573486328125,0.43858596682548523,0.6231768727302551,0.48410743474960327,0.47716283798217773,0.4923180341720581,0.48097583651542664,0.516690731048584,0.5786173343658447,0.7204303741455078,0.5397599339485168,0.4881628751754761,20.549465170579477,13.502216259395627,15.51185231314199,15.492821143051438,15.59360290279163,15.35131563449862,47.833314732008134,0.20449186626233554,3636.3561067304654,2883.3551297100807,7123.973588973007,0.2959291934967041
Anyma - Explore Your Future.mp3,-63.795875549316406,102.30563354492188,8.411690711975098,15.703560829162598,2.407020330429077,8.739131927490234,0.25238338112831116,8.11104965209961,-1.0500011444091797,7.857236862182617,-0.6585901379585266,4.505471706390381,-3.94480037689209,0.35760167241096497,0.34131038188934326,0.431031733751297,0.5177836418151855,0.7102270126342773,0.6107823252677917,0.5698678493499756,0.5844871401786804,0.43967029452323914,0.3534114360809326,0.37512949109077454,0.46559667587280273,19.844572333239014,12.895916295712103,14.91838040041789,15.462931568087091,16.05944027982924,16.101174455929122,48.24543694131515,0.07218711073553599,2093.473231312632,2493.978685096985,4740.527584678249,0.25666049122810364
Anyma - The Light.mp3,-72.38601684570312,89.20259857177734,12.308418273925781,9.499279975891113,-1.3393532037734985,3.4273133277893066,3.072270631790161,2.7928993701934814,-1.6162762641906738,7.98272705078125,-4.678711414337158,3.2485034465789795,-4.548229694366455,0.4879625737667084,0.3212137222290039,0.3532189428806305,0.33831530809402466,0.4828205406665802,0.34598636627197266,0.2995535433292389,0.32918626070022583,0.3866715133190155,0.5458545684814453,0.3846997320652008,0.4954429566860199,18.74850627630156,16.16298867212748,17.759386360246303,18.076833165336573,16.69995269510033,17.45441904294182,48.238875151822405,0.08894333972281347,2471.263600039345,2689.4620004404906,5716.8820974627515,0.24474646151065826
"Anyma, Chris Avantgarde - Simulation.mp3",-70.38866424560547,128.07867431640625,-10.018258094787598,12.471819877624512,-0.2325039803981781,7.6771440505981445,-2.9610023498535156,4.384019374847412,-1.3432074785232544,4.788654327392578,3.9816040992736816,8.622284889221191,1.7174731492996216,0.4000381529331207,0.3185504376888275,0.35863834619522095,0.44604256749153137,0.6881213188171387,0.48868227005004883,0.43699172139167786,0.48621031641960144,0.3642222285270691,0.31020602583885193,0.33646732568740845,0.5179464817047119,20.235913966523004,14.903827643882002,16.97931399352708,15.598182364979666,17.21865032400761,18.95783786389555,48.37194295951989,0.0705069432686726,1791.20491843504,1936.8806516138811,3745.827349494485,0.2645556330680847
